userName,score,at,content
Khalifah Mikayla,1,2026-02-27 11:00:13,"gx rekomended sihh ini,,sumpah...mending gadai di pegadaian yg jangka waktunya 3bln dan kalo telat masih dikasih waktu 1 bln juga.tpi kalo ini gx sih! dan barang gx dilelang,kalo DI PEGADAIAN barang bisa dilelang."
Ahmad Bangunan,5,2026-02-27 05:44:56,mantap
Yusuf Bahrudin,1,2026-02-26 05:25:46,aplikasi apaan login gbisa gajelas
Arfan Prasetio,1,2026-02-25 17:44:26,"sangat mengecewakan sekali, pelayanan d toko tidak ramah pelayanan aplikasi lemot, sungguh mengecewakan, kapok ga lagi gadai d tempat ini"
Dita Ardianti,5,2026-02-24 10:18:25,puas
Dudung Ahmad,5,2026-02-23 12:36:37,mantap
Raya Callista,1,2026-02-23 08:21:43,tujuan di buat aplikasi itu harus nya mempermudah. buat fitur dana cicil untuk pembayaran pokok nya saja selama bisa dan mampu lama lama kn bisa lunas juga. ini mau cicil tagihan pokok harus beserta jasa di bulan berikut nya. lah podo 👎🏻👎🏻
tezarbriliants,1,2026-02-22 12:19:11,gabisa di buka aplikasi nya etdahhh stak logo
dana Wandy,1,2026-02-22 03:20:31,gimna mau masuk untuk pendaftaran aja GK ada di apk ini
Robby Akbar,1,2026-02-20 04:23:29,aplikasi ya tidak bisa di buka sama sekali .
Dick Chocolate,5,2026-02-20 00:23:04,mudah cepat dan pasti
Mario Calles,1,2026-02-18 10:23:26,pelayanan di gerai offline nya lelet sekali kebanyakan ngobrol karyawan nya apalagi gerai yang di jl.Ion martasasmita huh lama banget pelayanannya hampir 2 jam
EvHKraken (Dandi Gunawan),5,2026-02-18 09:53:20,nice
anziano Koesno (Roland koesno),5,2026-02-17 09:58:37,tob markotop. hanya saja pelayanan kadang suka jutek yg di cimanggis kelapa 2. tolong agar sopan santun karyawan nya mau kpd siapapun org dan barang apapun tetap dihormati. jgn liat dari casingnya saja tapi liat isinya. bravo pgi
ellani boomer,5,2026-02-16 00:17:29,"di cabang pelayanan cepat, jika harus menunggu jg tdk masalah karena tersedia ""Ais krim gratis,,, !"""
Bintiy mucha mucha,5,2026-02-15 14:17:05,mantap.prosess cepat
Red Cb,1,2026-02-15 07:31:42,no recommended 👎👎👎
risya nhikmah,1,2026-02-12 01:18:35,gimana sih ini aplikasi saya mau bayar tapi loading terus udah 3hari .
Slamet Meilana,5,2026-02-10 04:54:10,MANTUL BOSKU
Ridzwan Maulana,5,2026-02-09 05:15:41,"respon chat sangat lambat,padahal pegawai tidak terlalu sibuk,cs ny lambat banget. kasih bintang 5 biar ke up paling atas"
Harris Fadilah,1,2026-02-09 02:48:47,"aplikasi nya gak bisa dibuka, gak jelas"
Eko Setiawan,5,2026-02-08 11:25:39,proses tdk ribet pelayanan ramah
Asraai Raiii,1,2026-02-07 09:01:34,baru masuk gbsa krna nomor hp salah gajelas
